,category,value,ques,ans
2017,go state,$1000,thi term mean not have made a will,intest
2018,the state of the state,$600,"on fire on oct eight one thousand, eight hundred and seventy-one ninety zero peopl in a major citi were left homeless in thi state",illinoi
2019,the roman god or goddess of,$200,the sea earthquak hors three thing that obvious go togeth,neptun
2020,where am i ?,$600,a href http www j archiv com medium two thousand and eleven five twenty-five j twenty-seven jpg target blank jimmi of the ckue crew walk down a long corridor a i'm in one of the longest build in the world at slac the linear acceler center of thi california univers,stanford
2021,cat all folk,$600,he 's the long time mgm superstar seen here,tom
2022,the lego artistri of nathan sawaya,$600,it 's the lego citi skylin seen a href http www j archiv com medium two thousand and ten one fourteen j twenty-eight jpg target blank here a nathan wa go to visit decid to make hi own version,seattl
2023,the environ,$200,it 's illeg in the european union to manufactur energi gobbl one hundred watt incandesc these,lightbulb
2024,tv attack ad,$800,nbc ran thi ad a href http www j archiv com medium two thousand and seven one eleven j fifteen mp3 contest sleep on the ground with bug snake while jeff probst reclin in hi feather bed is thi fair america ? you be the judg a,survivor
2025,tw eak me,$600,in the '60 thi british woman seen a href http www j archiv com medium two thousand and six seven twenty-five j eighteen jpg target blank here a wa a standard setter in a href http www j archiv com medium two thousand and six seven twenty-five j 18a jpg target blank style a,twiggi
2026,around the world book,$600,a c is in two volum but j k are in one volum thirteen still cover thi one letter,m
2027,a categori full of hole,$200,a par three golf cours often ha thi mani hole half a mani a a regular cours,nine
2028,natur,$400,made up of a filament anther thi male organ of a flower vari in number from zero to hundr,stamen
2029,good for a day off,$1000,you do n't need to have an epiphani to know the feast of the epiphani fall in thi month,januari
2030,the odyssey,$400,antin is the leader of the suitor for her hand,penelop
2031,19th centuri novel,$1000,stendhal 's the charterhous of thi place is set in a princ 's court in northern itali,parma
2032,tell me about it,$800,when shop be wari of the old bait thi,switch
2033,amazin' fact,$400,"selim iii who held thi ottoman titl from one thousand, seven hundred and eighty-nine to one thousand, eight hundred and seven reportedli shot an arrow nine hundred and seventy-two yard",sultan
2034,music duo,$400,in the earli '90 these twin matthew gunnar had a string of hit includ after the rain,nelson
2035,pickup artist,$400,thi three letter auto brand 's sierra pickup ha some peopl say hello denali,gmc
2036,egypt,$400,"after the sack of baghdad in one thousand, two hundred and fifty-eight by the mongol a new line of abbasid caliph wa form in thi egyptian citi",cairo
2037,anagram food drink,$1000,when you boil thi frilli leaf green veggi do n't let the liquid leak out of the pot,kale
2038,juliu caesar,$800,from forty-six to forty-four b c juliu caesar liter rule a one of these have been appoint so by the roman senat,dictat
2039,shakespear,$600,forget rotten t s eliot said so far from be shakespear 's masterpiec it is most certainli an artist failur,hamlet
2040,cosmetolog,$600,on the web page to regist cosmetologist in mass nail salon sanitari guidelin are onli in thi languag,vietnames
2041,you look like a greek god,$600,at one time he wa known a a god of shepherd he work hi way up to god of the sun propheci,apollo
2042,pastim,$400,take a page from thi pastim seen a href http www j archiv com medium two thousand and eleven twelve fifteen j twenty-two jpg target blank here a,scrapbook
2043,juri duti,$200,like a wit a prospect juror who lie dure select can be charg with thi crime,perjuri
2044,roll call,$1000,appropri seven letter term for the first public show of an aircraft,rollout
2045,u s state,$200,the state that contain the mouth of the mississippi,louisiana
2046,esquire' dubiou achiev two thousand and five,$400,thi russian presid pocket a super bowl ring be shown to him esquir specul that he pawn it,putin
2047,anagram u s citi,$200,have you been to thi georgia citi ? vanna ha,savannah
2048,tempo tantrum,$1000,thi common name of the small speedi bird seen a href http www j archiv com medium two thousand and eight one one j thirty jpg target blank here a even mean speedi,swift
2049,it don't mean a thing,$600,give a portion of one 's incom typic ten to one 's church,tith
2050,ancient roman,$800,thi mad emperor thirty-seven forty-one a d often had dinner with incitatu hi favorit hors who live in a marbl stabl,caligula
2051,energi,$400,kazakhstan australia combin to mine half of the world 's product of thi element need for nuclear power,uranium
2052,anatomi,$200,each of these is made up of four kind of tissu pulp dentin enamel cementum,teeth
2053,hypo pourri,$400,prolong exposur to the cold caus thi condit in which the bodi 's temperatur drop below ninety-five degre,hypothermia
2054,home furnish,$800,to add a southwestern touch furnish a room with the rug seen a href http www j archiv com medium two thousand and eleven four twenty-two j twenty-seven jpg target blank here a name for thi second most popul indian tribe,navajo
2055,i'm realli step in it now,$400,in thi deathtrap i'm sink fast i 'll go flat on my back to float then move to the side roll to firm ground,quicksand
2056,inaugur address,$200,at thi last pre inaugur of the 20th centuri let u lift our eye toward the challeng that await u,clinton
2057,midwestern citi,$1000,the famou question will it play in thi illinoi citi goe back to it vaudevil day,peoria
2058,beauti tip,$600,to use a curler on these after you 've appli the mascara is a bad thing to do,eyelash
2059,cloth encount,$600,becaus of the jacket they wore dure the 18th centuri troop of thi nation were known a redcoat,britain
2060,fun with countri name,$1000,it 's the onli nation in the world with name in it english name,surinam
2061,exodu,$200,exodu twelve ha instruct for thi holiday plea respond with one question not four,passov
2062,anim group,$200,just think about a grist of these insect give me hive,bee
2063,the king,$1000,california lawyer melvin belli wa famou a the king of these,tort
2064,word origin,$800,the greek word iota gave u thi three letter word that mean to write down hastili,jot
2065,the fifty state,$200,washington rhode island have the shortest one in the u s alki hope respect,motto
2066,state capit,$600,"in one thousand, eight hundred and sixty one thousand, eight hundred and sixty-one poni express rider carri the mail from st joseph mo end in thi western capit",sacramento
2067,the fortun five hundred,$600,fortun 's most like to succeed wa thi internet search site at no one hundred and nineteen with thirty-five differ buy rate,googl
2068,all aboard,$400,hop aboard the green mountain flyer for a scenic tour of thi state 's fall foliag,vermont
2069,add a letter,$800,thi letter turn a poni into a flower,e
2070,tech know,$1000,seen a href http www j archiv com medium two thousand and eleven three four j twelve jpg target blank here a is an icon for thi three letter servic that feed you updat on your favorit web site,r
2071,u s citi,$400,thi georgia citi that 's popular with golfer wa name for the mother of georg iii,augusta
2072,mercuri,$600,the mercuri is the wnba team in thi citi in which the mercuri ha hit one hundred and twenty-two,phoenix
2073,four letter fill in the proverb,$600,where there 's life there 's the last name of bing 's road partner,hope
2074,your teeth,$200,in the dentist 's offic procain lidocain are type of thi,anesthet
2075,the emancip proclam,$1000,"an one thousand, eight hundred and sixty-two proclam free d c 's slave offer to help them move to haiti or thi african countri",liberia
2076,tower,$400,societ general bank ha built tower in the la defens section of thi citi,pari
2077,what' on tv ?,$400,joshua jackson play the son of a mad scientist on thi x file esqu fox show,fring
2078,fashion,$400,teenagers' tooth wear or what the british call suspend,brace
2079,american presid the soap opera,$600,a href http www j archiv com medium two thousand and ten three sixteen j eight mp3 seven of the fifteen slave state had seced but he simpli let them go would he ever find the right gal to marri ? nope a,buchanan
2080,end in s,$400,after board school jane eyr take on thi titl at thornfield hall,gover
2081,space invad,$600,"in one thousand, nine hundred and ninety-five the galileo spacecraft reach thi larg planet launch a probe into it",jupit
2082,file under e,$400,a candid for knighthood in mediev time or an english countri gentleman,esquir
2083,medic histori,$400,if pierr bretonneau 's name for thi diseas had stuck we 'd talk about dothienenter mari,typhoid
2084,"one thousand, eight hundred and twelve",$800,"citi thi of new york open in one thousand, eight hundred and twelve two hundred year later it 's still around with the y now a second i",bank
2085,a lone,$600,"by the one thousand, nine hundred and fifty scientist were abl to do thi to frog mouse follow in the '80",clone
2086,tv weapon,$400,agent of thi crimin group would laugh at agent eighty-six whenev he pull out hi gun shape like a finger,kao
2087,english class,$600,at by of are all thi part of speech,preposit
2088,don't say the l word,$800,thi phenomenon result from the accumul of electr charg in cumulonimbu cloud,thunder
2089,cut dri,$400,cut down a bunch of thompson seedless dri them you get these,raisin
2090,you can tell by the way i use my walk,$800,in aussi speak it 's a brief inform leav from work taken by an aborigin to wander the bush,walkabout
2091,monti python forev,$1000,in a sketch that take place in a world of superman a man who fix these is treat like a hero,bicycl
2092,woman in song,$600,barri manilow well you kiss me and stop me from shake and i need you today oh her,mandi
2093,think ink,$200,the slammer the pokey the hoosegow,clink
2094,transport,$400,the british srn four type of thi machin wa design to ferri peopl car across the english channel,hovercraft
2095,in black' law dictionari,$200,the malici burn of someon el 's dwell hous or outhous glad the outhous is protect too,arson
2096,where the h is it ?,$200,"gloria estefan wa born in thi capit citi in one thousand, nine hundred and fifty-seven",havana
2097,lion,$200,it 's the citi that 's home to the nfl 's lion,detroit
2098,b,$200,let 's hear it for thi capit of idaho,bois
2099,scienc fiction,$200,walter tevis' first sci fi novel wa the man who fell to thi planet,earth
2100,alphabet last letter,$800,in the name of the third month of the year,r
2101,o wherefor art thou ?,$1000,it 's where joan of arc had her first victori over the english dure the hundr year war,orlean
2102,u s citi,$600,in novemb two thousand and one thi citi 's journal constitut newspap fulli merg,atlanta
2103,chine calendar anim,$200,"mr ed went off the air in one thousand, nine hundred and sixty-six iron the year of thi anim",hors
2104,earli man,$200,with wood scarc earli man in the ukrain fifteen zero year ago built hut out of thi anim 's giant bone tusk,mammoth
2105,waiter,$400,waiter we 'd like two servic of thi chill cream potato leek soup,vichyssois
2106,realm of the sen,$800,if your is absolut you know your abc defg by ear,pitch
2107,nelson mandela,$800,recount hi life hi struggl nelson 's autobiographi is titl long walk to thi,freedom
2108,ok comput,$400,a href http www j archiv com medium two thousand and six five fifteen j twenty-six wmv kelli of the clue crew access a video of sarah of the clue crew scuba dive on the i jeopardi i web site from her laptop a a synonym for flow it 's the type of video you can watch when you a href http www j archiv com medium two thousand and six five fifteen j twenty-six jpg target blank visit u a at jeopardi com,stream
2109,stop pull my cheney,$400,"from one thousand, nine hundred and ninety-five to two thousand cheney wa ceo of thi energi servic firm",halliburton
2110,natur,$1000,a href http www j archiv com medium two thousand and seven seven two j twenty-five jpg target blank the insect seen here a is call a href http www j archiv com medium two thousand and seven seven two j 25a jpg target blank the water type of thi word a that also follow volga in song,boatman
2111,the fall,$600,"in octob one thousand, nine hundred and eighty-three the u s invad thi caribbean countri offici to protect american medic student there",grenada
2112,tv characters' maiden name,$200,like jacki kennedi marg simpson had thi maiden name,bouvier
2113,free stuff on the internet,$400,through facebook thi compani offer a summer sampl pack of good coupon for item like it macaroni chees,kraft
2114,are you game ?,$400,an earli version of thi game in india wa call chaturanga use eleph hors chariot foot soldier,chess
2115,colleg univers,$200,not surprisingli more undergrad at the univers of puget sound are from thi state than ani other,washington
2116,the age of asparagu,$600,argenteuil in northern franc is renown for it delic asparagu of thi color,white
2117,if you'r go to do it,$800,you mix then heat lime silica alumina iron oxid with gypsum to creat the portland type of thi,cement
2118,updat literatur ?,$1000,gregor samsa awak one day transform into a gigant insect famili spray him with industri size can of raid,metamorphosi
2119,medicin plant,$400,thi plant that give beer it pleasantli bitter tast is valu by herbalist a a sed,hop
2120,what a famou hors race,$200,"a href http www j archiv com medium two thousand and eight one twenty-one j twenty-one mp3 away they go thi hors who wa 1st on tv in one thousand, nine hundred and forty-nine lead earli it mask jockey seem to be say hi yo someth a",silver
2121,odd end,$400,a michigand might know that glutton is anoth name for thi member of the weasel famili,wolverin
2122,constantin,$1000,now iznik turkey thi citi host an import christian council call by constantin in three hundred and twenty-five,nicaea
2123,the frank,$200,around four hundred and eighty-six the frank took control of the region onc known by thi four letter name,gaul
2124,chore,$800,harri potter accomplish the task of breath underwat with the help of thi weed,gillywe
2125,art craft,$400,use on watercolor bookplat document fraktur is a type of thi styliz write,calligraphi
2126,we predict the futur,$800,on juli twenty two thousand and ten thi s american countri will kick back with some good coffe to celebr two hundred year of indep,colombia
2127,militari dude,$1000,manuel belgrano wa a promin militari leader in thi s american countri 's fight for independ from spain,argentina
2128,paper,$1000,manila paper wa origin made from thi rope substanc from manila,hemp
2129,crossword clue f,$600,you do it with a plow or to your brow six,furrow
2130,economi of the world,$800,ravag by war in two thousand and two thi countri becam the world 's largest supplier of opium,afghanistan
2131,"the one thousand, eight hundred and sixty",$600,"the draw accompani an one thousand, eight hundred and sixty-two weapon patent by thi man is a href http www j archiv com medium two thousand and four seven twelve j twenty-three jpg target blank seen a a href http www j archiv com medium two thousand and four seven twelve j 23a jpg target blank here a",gatl
2132,dairi product,$1000,a special lowfat milk ha a reduc content of thi milk sugar that is hard for some peopl to digest,lactos
2133,cloth off our back,$600,a sweater is name for the 7th earl of thi who need an extra layer of warmth under hi uniform dure the crimean war,cardigan
2134,criminolog,$600,a common trio in explain crime consist of mean opportun thi,motiv
2135,element ari school,$600,"around three thousand, five hundred b c peopl were mix copper arsen to make thi they soon found copper tin work better",bronz
2136,a wealth of inform,$200,these disast in california in octob two thousand and three caus over two billion in damag,wildfir
2137,old commerci,$200,gemini astronaut drank thi orang drink just like you,tang
2138,new abbrev,$400,skype use voip which stand for thi over internet protocol,voic
2139,crossword clue s,$400,it preced guard or chord five,swiss
2140,gimm an f,$800,reynard the hero of mediev french fabl is one of these,fox
2141,get a whiff of thi,$200,elizabeth taylor ha a perfum call white these,diamond
2142,a date with densiti,$200,thi planet ha a greater mean densiti than ani of the other in our solar system,earth
2143,n aa cp,$1000,philippin peninsula which wa the site of an infam death march in wwii,bataan
2144,i believ webster' defin it a,$800,conj one a except for the fact use to introduc a depend claus,but
2145,long one syllabl word,$400,eight letter two three four five six differ suit in poker,straight
2146,c in geographi,$200,"thi citi wa found by england 's east india trade compani in one thousand, six hundred and ninety",calcutta
2147,german river,$1000,the three hundred and thirty-nine mile mosel river form part of the boundari between germani thi duchi,luxembourg
2148,bomb the ban,$800,in shakespear thi close friend of macbeth 's is with him when he encount the three witch,banquo
2149,meet your car maker,$1000,thi compani 's impreza could veri well be your legaci,subaru
2150,peruvian food drink,$1000,the pisco sour is made with bitter sugar lime juic egg white pisco thi pale grape spirit,brandi
2151,who do you think i am ?,$800,"affer lo alamo i wa the director of princeton 's institut for advanc studi from one thousand, nine hundred and forty-seven to one thousand, nine hundred and sixty-six",oppenheim
2152,music instrument maker,$800,theobald boehm a player of thi instrument enlarg it finger hole made it metal instead of wood,flute
2153,quot,$400,jean de la bruyer said time which strengthen friendship weaken thi emot,love
2154,rare quot shakespearean dialogu,$1000,cassio act i scene ii to who ?,othello
2155,ten hut,$800,the nation labor relat act say health care worker have to give ten days' notic befor they do thi,strike
2156,u s histori,$400,built to replac the challeng thi space shuttl made it maiden voyag in may of '92,endeavour
2157,offbeat museum,$800,suit a museum in leavenworth wash display over six zero of these nifti tool mani resembl toy soldier,nutcrack
2158,basebal rooki of the year,$200,thi center fielder who hit six hundred and sixty homer won two nl mvp award start hi pro career in the negro leagu,may
2159,earli america,$800,for traduc the minist ann hutchinson wa among the first to be ban in thi capit,boston
2160,stupid answer,$800,sofia of the clue crew on a ski slope in colorado even if it 's autumn i do n't think the green ever leav the lodgepol pine thi type of tree,evergreen
2161,day of birth,$400,garrison keillor might say be gone to wednesday 's child who 's full of thi,woe
2162,potent potabl,$400,of schumann chopin or verdi the luxuri vodka brand,chopin
2163,come to the point,$200,to north american the sun reach it vernal point in thi month,march
2164,tie me up,$400,it 's an addit period of play design to establish a winner among contest with the same score,tiebreak
2165,night,$600,ani of the variou plant of the famili solanacea some may be deadli,nightshad
2166,tricki question,$800,number of f 's in thi flimsi formul of a question,five
2167,king jame bibl beast,$1000,sinc leviticu nineteen nineteen expressli forbid thi mule are not allow,crossbreed
2168,hair today,$600,thi rastafarian style is whoopi goldberg 's trademark,dreadlock
2169,mysteri meat,$600,a special train butcher known a a shochet is requir to prepar meat to thi religi standard,kosher
2170,we have the technolog,$600,"patent in one thousand, nine hundred and sixty-five thi stadium ground cover wa first use commerci on a larg scale in texa",astroturf
2171,what did i do with my key ?,$400,they fell into thi pot that 's also a term for one who make hi money grow cotton,planter
2172,scienc natur,$800,the reticul speci the largest of these snake may reach a length of thirty-three foot,python
2173,a in scienc,$1000,thi inert ga is atom number eighteen you should naut search ani further,argon
2174,two letter word,$800,do n't have a cow man it 's just the 12th letter of the greek alphabet,mu
2175,monro,$800,"one thousand, nine hundred and forty sing star vaughn monro had a rich voic in thi middl male rang henc the nicknam old leather tonsil",bariton
2176,i wanna watch tv,$200,miranda cosgrov play a teen webcast on thi show,icarli
2177,state of the union,$400,you 'll find one of the world 's largest chocol factori twenty mile north of york in thi eastern state,pennsylvania
2178,land ho,$200,in two thousand and one canada 's parliament offici ad and labrador to thi provinc 's name,newfoundland
2179,americana,$800,a href http www j archiv com medium two thousand and seven five thirty-one j nine jpg target blank i'm master carpent norm abram a the 1st old hous we renov wa a run down victorian in the dorchest section of thi citi,boston
2180,ta ta for now,$800,sauci name for the crusti area on your teeth made from miner salt react with plaqu saliva,tartar
2181,the world almanac two thousand and seven,$800,alphabet a select list of endang speci run from albatross to thi,zebra
2182,og,$800,someth can do thi to your bad memori it 's also a wheel on a soni clie,jog
2183,quit a dish,$800,the meat that result from the mate of a bison a domest bovin,beefalo
2184,world histori,$800,"in one thousand, nine hundred and sixty-nine west irian vote to remain a part of thi nation the u n recogn it control of irian jaya",indonesia
2185,peopl,$200,great epic write ionian 9th centuri b c,homer
2186,in pari,$800,sacr bleu at the top of thi pari hill is the sacr coeur basilica,montmartr
2187,a day at the dog show,$1000,a href http www j archiv com medium two thousand and eight seven three j thirty jpg target blank sarah of the clue crew report from an akc dog show show ring a a you might expect westi scotti schnauzer and mani other breed compet in thi ever popular group of dog at american kennel club show,terrier
2188,presid tyler,$600,like patrick henri befor him tyler wa governor of thi state,virginia
2189,club,$600,"now a prestigi music group the glee club of thi boston area school began in one thousand, eight hundred and fifty-eight basic a a social club",harvard
2190,make it so,$1000,it mean a temporari stay or visit that 's the truth,sojourn
2191,biblic famili,$200,compar grammar of ancient phoenician hebrew show he may have been born befor adam eve left eden,cain
2192,dinosaur,$1000,similar to an apatosauru thi 52' tall herbivor whose name mean arm lizard had longer foreleg than hindleg,brachiosauru
2193,potent potabl,$400,brooklynit jenni churchil winston 's mother creat thi whiskey vermouth cocktail,manhattan
2194,financi matter,$1000,thi six letter word can mean frugal or a save loan associ,thrift
2195,a prayer to be name later,$200,it 's the common word for a prayer of thank befor meal,grace
2196,alexand the great,$600,alexand group hi infantri into these format from the greek for finger or toe bone,phalanx
2197,assembl line,$200,a href http www j archiv com medium two thousand and ten two sixteen j eleven wmv alex look over the assembl line at the ford motor compani in dearborn mi a i know it look like a scene from a sci fi film but these robot are do thi import but hazard job that help keep some of the metal part togeth,weld
2198,nebraska the good life,$600,visit thi area of roll dune or check out the migrat of the crane also call these,sandhil
2199,beastli blue,$800,thi east coast state 's offici crustacean is the blue crab,maryland
2200,garden,$200,it 's a small area of ground plant with flower but one may also hold oyster or sleeper,bed
2201,peopl in histori,$400,the last king william to rule england had thi number after hi name,iv
2202,so you think you can franc,$200,you can spell thi port franc 's second largest citi with or without an s at the end,marseil
2203,medic mileston,$600,"in the one thousand, nine hundred and fifty peter safar develop thi emerg procedur to maintain airway breath circul",cpr
2204,june swoon,$1000,declar a public enemi by the senat thi roman emperor commit suicid on june nine sixty-eight a d,nero
2205,on campu,$800,usc ha a satellit campu on thi island about twenty-five mile off l a 's coast,catalina
2206,state capit,$200,thi seat of kent counti delawar is name for a citi in england 's counti of kent,dover
2207,anim talk,$400,accord to a proverb everi dog ha hi thi,day
2208,like a roll stone,$800,the tear of thi hawaiian volcano goddess are actual bit of flung molten rock with no direct home,pele
2209,in the french pantri,$1000,i see un pamplemouss thi i 'll have half of it for petit dejeun breakfast,grapefruit
2210,two letter abbrev,$600,maker of the cabrio passat for short,vw
2211,s the situat,$1000,hemingway wrote anyth wa better than ezra learn to play thi low rang woodwind instrument,bassoon
2212,the goodyear blimp,$1000,sofia stand in front of the goodyear blimp the goodyear blimp 's skin is n't made with natur rubber but thi synthet rubber made from chloropren,neopren
2213,what' in your c loset ?,$1000,one of these long full collarless robe with wide sleev worn for loung or a a cover up at the beach,caftan
2214,the hustler,$600,hmh seven hundred and seventy-two call name hustler is a marin corp squadron of these craft,helicopt
2215,lyric gunplay,$1000,hendrix hey thi guy i heard you shot your old ladi down ye i did i shot her,joe
2216,a d in histori,$800,"in one thousand, nine hundred and fifty-two the u n start a commiss on thi to make the world a le lethal place",disarma
2217,ocean life,$600,a pacif northern bluefin one of these fish wa track swim six seven hundred mile from japan to baja,tuna
2218,the regina monologu,$1000,regina is home to one of the world 's largest rink for thi sport of slide stone on ice,curl
2219,king their castl,$800,afonso henriqu thi countri 's first king captur palmela castl from the moor in the 12th centuri,portug
2220,the most want list,$800,"of the nearli five hundred peopl on thi list sinc it incept onli eight have been these the first made it in one thousand, nine hundred and sixty-eight",woman
2221,xe lent,$800,it 's short for pictur element,pixel
2222,old testament woman,$1000,the victori song of aaron thi sister of mose at the red sea is one of the earliest piec of hebrew literatur,miriam
2223,take a drive on i sixty-five,$800,you 'll see merrillvil indiana do n't forget thi univers in west lafayett,purdu
2224,tale,$200,"in one thousand, nine hundred and thirty-one jean de brunhoff wrote the first of sever child 's tale about thi eleph",babar
2225,histori of drink,$600,a href http www j archiv com medium two thousand and nine ten twenty j fifteen jpg target blank jimmi of the clue crew report from holland a dutch windmil often mill the grain for thi junip berri spirit invent here in holland,gin
2226,that' element ari,$1000,one atom mass unit equal one twelve the mass of an atom of the most common isotop of thi element,carbon
2227,who said it shakespear ?,$600,thou must be marri to no man but me for i am he am born to tame you kate,petruchio
2228,color in natur,$200,a director john water could tell you it 's a common hue for flamingo,pink
2229,two thousand and eight news,$1000,former bishop fernando lugo wa elect pre of thi south american countri after six decad of one parti rule,paraguay
2230,u s pacif depend,$200,most of the palmyra atol is privat own by the fullard leo famili of thi state one zero mile away,hawaii
2231,new u s citi,$600,thi new jersey citi boast an intern airport the three hundred and sixty acr branch brook park,newark
2232,scotland,$1000,the scot type of thi celtic languag is still spoken in the hebrid,gaelic
2233,color tv show,$200,"one thousand, nine hundred and sixty-five one thousand, nine hundred and seventy-one acr",green
2234,polit scientist,$200,"zbigniew brzezinski wa born in thi capit citi in one thousand, nine hundred and twenty-eight",warsaw
2235,you can call me al,$800,thi bronchodil help ea breath dure an asthma attack,albuterol
2236,hot spot,$800,"when it hit one hundred and twenty on dec eleven one thousand, nine hundred and five in rivadavia in thi countri the gaucho must have stay in the sombra",argentina
2237,special t s,$200,patron silver is a premium type of thi potent potabl,tequila
2238,ceo compens,$600,at twenty-eight million in two thousand and seven robert iger doe n't need to wish upon a star with thi compani,disney
2239,pari,$200,jimmi of the clue crew in pari the arc de triomph is inscrib with the name date of thi man 's victori,napoleon
2240,monster mash,$400,due to concern about obes a sesam street monster 's song wa chang to thi is a sometim food,cooki
2241,in the fire,$200,"sinc one thousand, nine hundred and thirty-two thi brand ha provid reliabl flame for soldier camper other",zippo
2242,tv seri final,$800,the four main charact were imprison for violat a good samaritan law,seinfeld
2243,fun with number,$600,to excel in thi categori you should know that xl in roman numer equal thi,forty
2244,rhyme time,$600,adject mean so awe inspiringli beauti a to be almost heavenli,sublim
2245,the weird the supernatur,$400,pk the abil to move object with one 's mind stand for thi,psychokinesi
2246,bright idea,$600,lawrenc sperri use the gyroscop hi dad develop in thi devic that keep plane on cours without human aid,autopilot
2247,in the middl of the state,$200,get comfi tuck yourself into thi state,kentucki
2248,so you want to be a ballet dancer,$400,you 'll feel full of esprit de thi group a ballet 's main ensembl,corp
2249,lesser known scientist,$200,"in one thousand, seven hundred and seventy-nine dutch scientist jan ingenhousz publish hi discoveri of thi process in green plant",photosynthesi
2250,what' nu,$400,mean stupid it 's how moe refer to larri or curli,numbskul
2251,middl c,$1000,for a nice chianti visit thi wine make region of itali that 's famou for it,tuscani
2252,breakfast cereal,$1000,finicki four year old mikey like it,life
2253,edific rex,$400,royal resid in thi nation includ drottningholm palac stromsholm palac,sweden
2254,strang r s,$600,"the u s russia found their one thousand, nine hundred and eighty-six talk in thi capit of iceland disarm",reykjavik
2255,we'r gonna make you wine,$800,in a vertic tast you tri sever bottl of chateau cochon roug from differ these,year
2256,get around the citi,$1000,head down front street not far from the corner of john street is the cn tower you ca n't miss it you realli ca n't,toronto
2257,is thi heaven ?,$800,motor trend said thi car compani 's three hundred and eighty hp testarossa could hit sixty mph in five twenty-nine second a test drive could be fun,ferrari
2258,the new york time busi,$1000,a time writer 's scandalot featur mauric greenberg who resign a ceo of thi insur giant,aig
2259,china in the museum,$600,beij 's palac museum ha spectacular but fragil kesi tapestri of thi rich fabric,silk
2260,fashion fun,$800,i need a messeng god to pick up some scarv at thi store at twenty-four faubourg saint honor,herm
2261,zoolog,$200,thi rel of the llama the alpaca wa hunt to near extinct for it wool,vicuna
2262,too soft,$400,proverbi a sow 's ear is n't the sourc to construct a purs made of thi soft fabric,silk
2263,the bodi human,$400,world book describ thi organ a a grayish pink jellylik ball with mani ridg and groov,brain
2264,european histori,$200,accord to these histor prose epic by iceland the vike establish mani settlement in north america,saga
2265,state rebus,$600,a smaller than regular size carbon soft drink,minnesota
2266,the spanish civil war,$1000,"mani area were indiscrimin bomb destroy like thi town seen in a famou one thousand, nine hundred and thirty-seven paint",guernica
2267,food,$200,use these when an italian recip call for pomodori,tomato
2268,say bon,$200,hello it mean hello or good day,bonjour
2269,bear stuff,$200,track seven on hi thirty no one hit album is let me be your teddi bear,elvi
2270,a countri of africa,$400,of sudan somalia or sierra leon the one that 's the largest in area,sudan
2271,pop cultur,$200,in two thousand and ten mcdonald 's announc via twitter that thi pork sandwich wa return to it menu,mcrib
2272,doubl conson,$600,it 's found in the sky between scorpio capricorn,sagittariu
2273,thi categori is a shoe in,$1000,"in one thousand, nine hundred and eighty-four mark thatcher design thi brand of sport sandal for river raft",teva
2274,jackson five,$1000,dure thi virginia battl stonewal jackson wa fire upon by hi own men he die a few day later,chancellorsvil
2275,olog,$400,william jame wish that by treat thi disciplin like a natur scienc it would help it to becom one,psycholog
2276,the 19th first annual ig nobel prize,$400,a two thousand and nine veterinari medicin prize wa given for show cow who have name give more of thi than nameless one,milk
2277,a date with histori,$800,"on jan one one thousand, eight hundred and four jean jacqu dessalin proclaim thi current nation independ",haiti
2278,the period tabl,$800,decompress sick aka the bend is character by the format of bubbl of thi ga in the blood,nitrogen
2279,sigmund freud,$200,"a href http www j archiv com medium two thousand and six ten seventeen j sixteen jpg target blank jimmi of the clue crew walk by an exhibit in the freud museum in vienna austria a in one thousand, eight hundred and ninety-six freud creat thi word for the techniqu we associ with couch",psychoanalysi
2280,annual event,$200,in mediev time witch were believ to fli on thi holiday bonfir were set to ward them off,halloween
2281,an appl a day,$600,the name of thi world capit preced beauti in the name of an appl varieti that 's excel for bake,rome
2282,king world,$600,"between one thousand, four hundred and twenty-four one thousand, five hundred and forty-two scotland wa rule by five stuart king all name thi",jame
2283,yuletid ditti,$1000,you better watch out you better not cri you better not do thi becaus santa clau is come to town,pout
2284,club,$1000,prosper and opportun through econom freedom is the motto of the anti tax club for thi,growth
2285,star trek,$1000,when cassiopeia is visibl it 's not a strain to see thi daughter of her chain to a rock she 'll be visibl too,andromeda
2286,artist their subject,$1000,carlo saraceni depict thi mytholog woman seen here strain at her chain,andromeda
2287,food drink,$800,evian water come from a spring in thi mountain rang,alp
2288,add a letter,$400,when is a surgeon like a fish ? when you add thi letter to it,t
2289,i'll be bach,$800,bach wrote a well known set of concerto for christian ludwig the margrav of thi region,brandenburg
2290,the commodor,$200,the first american naval victori in the revolut came under commodor esek hopkin in these island off fla,bahama
2291,mapmak,$400,photogrammetri is the scienc of make map from photograph taken from these,aircraft
2292,inventor,$400,eureka he invent the compound pulley prove the law of the lever,archimed
2293,girl of song,$800,no one 's realli sure who thi titl girl is in the piec heard a href http www j archiv com medium two thousand and seven eleven twelve j four mp3 here a,elis
2294,drive along,$800,i hate how other driver do thi elast act when they pas an accid whoa is that someon 's spleen ?,rubberneck
2295,weight measur,$200,whether you hide your light under it or not it 's equal to thirty-five twenty-four liter,bushel
2296,not to be confus,$600,anesthesia is someth you get befor surgeri anastasia wa the youngest daughter of thi russian empress,alexandra
2297,c'est chees,$200,king christian ix is a chees from thi countri,denmark
2298,some assembl requir,$800,you can deceiv someon by do thi made from a part of some sweatshirt plu close an eye,hoodwink
