,category,value,ques,ans
1093,i'll have the beef,$400,the govern grade for beef includ select choic thi highest one,prime
1094,politico by state,$1000,the senat seen a href http www j archiv com medium two thousand and seven ten eighteen j fourteen jpg target blank here a serv thi state and is part of the financ judiciari committe,utah
1095,televis,$200,"in one thousand, nine hundred and ninety-six show steve harvey mitch mullani tom rhode all star a charact with thi profess",teach
1096,geo parti,$200,it 's just an old sweet song that keep thi on ray charles' mind,georgia
1097,end in ch,$1000,deriv from yiddish it mean to complain with a littl whine thrown in for good measur,kvetch
1098,countri name etymolog,$1000,thi new balkan nation is name for the appear of mt lovcen or perhap the dark forest around it,montenegro
1099,robert loui stevenson,$1000,"around one thousand, eight hundred and ninety stevenson bought three hundred acr in what 's now thi countri where he wa call tusitala or teller of tale",samoa
1100,newspap magazin,$1000,"thi altern music magazin wa found by bob guccion jr in one thousand, nine hundred and eighty-five",spin
1101,divid by a common languag,$1000,fring is a british coiffur term for these,bang
1102,zoo olog,$400,if you visit the singapor zoo stay til late afternoon have thi british meal with an orangutan,tea
1103,here come bahrain again,$200,"thi countri that control bahrain in the 18th centuri renew it claim after it one thousand, nine hundred and seventy-nine revolut",iran
1104,start with a silent w,$1000,thi word mean miser is found in the poem on the base of ladi liberti,wretch
1105,guilti pleasur,$1000,you 've sung along with the car radio to thi band heard here do n't tell u you have n't do n't stop believ,journey
1106,countri of the world,$1000,honor the countri 's liber la dessalinienn is thi countri 's nation anthem,haiti
1107,german word phrase,$400,liter mean littl woman it onc meant miss but mani modern german woman now find it offens,fraulein
1108,a a a,$400,among cendant corpor 's hotel chain are day inn howard johnson thi inn,ramada
1109,i am curiou yellow,$400,like whitehors orangevil yellowknif is a citi in thi countri,canada
1110,literari crossword clue l,$1000,the white queen 's floral daughter in through the look glass four,lili
1111,histori,$1000,"the cathedr of thi citi in spain claim to hold the remain of christoph columbu move there in one thousand, eight hundred and ninety-nine",sevil
1112,the big day,$1000,the biggest constel is thi one the sea serpent which cover three sixteen of the sky contain sixty-eight visibl star,hydra
1113,rhyme with eek,$400,the state of vexat you might experi if you ca n't reach the top of a mountain,piqu
1114,medic prefix suffix,$1000,use a a suffix emia mean pertain to thi substanc,blood
1115,among the ten most popul countri,$200,thi south american countri ha about a mani peopl a all the other south american countri combin,brazil
1116,food drink,$400,compani that use the sketch seen here by dorothi hope smith,gerber
1117,cut dri,$200,billabong an aussi compani make thi out of emu ostrich kangaroo meat a well a regular beef,jerki
1118,the new york time columnist,$200,an astronom view facil or henri fountain 's column in tuesday 's scienc time,observatori
1119,what are you afraid of ?,$200,ye there realli is a name for the fear of thi number it 's triskaidekaphobia,thirteen
1120,nose week,$200,the name of thi larg land creatur is from the greek for nose horn,rhinocero
1121,record loss in two thousand and five,$200,a comput with ninety-eight zero name ssn wa report stolen from thi oldest campu of the univ of calif,berkeley
1122,eye on indonesia,$200,term for the skirt worn by dorothi lamour on film or the tradit garb of indonesian of both sex,sarong
1123,food e,$200,begin sushi eater often start out with unagi thi fish that 's been cook bast with a sweetish sauc,eel
1124,heteronym,$400,a metal element or to guid the way,lead
1125,genesi,$400,god made a coven with thi son of terah,abraham
1126,lesser known biblic folk,$400,hoglah a daughter of zelophehad could sing with shirley keith a her name mean thi,partridg
1127,dictat tyrant,$1000,"a humbl lawyer from arra in one thousand, seven hundred and ninety-three he becam head of the committe of public safeti launch a bloodbath",robespierr
1128,to a tee,$400,ring in miss the clue tough we do n't offer a money back one,guarante
1129,ah sweet mythteri,$1000,thi mytholog sculptor tragic fell in love with a beauti statu he had carv,pygmalion
1130,juli,$1000,"thi italian sonnet who wrote poem to laura wa born in juli one thousand, three hundred and four",petrarch
1131,along came a spider,$400,spider belong to thi class name for a lydian maiden who wa transform by athena into a spider,arachnid
1132,taiwan,$200,dure japanes control of taiwan thi largest citi wa call taihoku,taipei
1133,soup salad,$1000,the name of thi chunki seafood soup come from a french word for the cauldron in which fisherman made their stew,chowder
1134,the onion describ the state,$400,home to hundr of prestigi colleg it is where the nation 's best and brightest ca n't afford to go,massachusett
1135,titl contain titl,$1000,oscar wild windermer 's fan,ladi
1136,the countri a describ by the onion,$1000,"it came under control of it lemur popul in one thousand, nine hundred and sixty-five when the prosimian gain a major in the nation senat",madagascar
1137,littl leagu basebal,$400,littl leagu regul game last thi mani inning so there 's no stretch,six
1138,busi industri,$200,thi babi food compani onc use the slogan babi are our busi our onli busi,gerber
1139,stupid answer,$400,"a href http www j archiv com medium two thousand and six seven ten j nine jpg target blank jon of the clue crew report from a waterfront a thi new england citi got it name in the one thousand, six hundred and fifty becaus it citizen said we 're at the river 's mouth and our port is a good a ani",portsmouth
1140,d day,$400,the decis to go on june six wa due to jame stagg chief advis to eisenhow on thi atmospher scienc,weather
1141,design,$400,edward kemey design the lion that guard the entranc to the art institut of thi citi,chicago
1142,let' be logic,$1000,in a magic squar each row column main diagon add to the same total the one a href http www j archiv com medium two thousand and ten six three j fourteen jpg target blank here a is miss thi number,five
1143,pasta bar,$400,aglio e olio one of the simplest sauc mainli consist of heat oliv oil thi,garlic
1144,you gotta have faith,$400,a member of a muslim religi order known for it frenzi whirl devot practic,dervish
1145,a littl knight music,$400,i 'll announc your arriv at the joust my lieg with a coil one of the instrument heard here,trumpet
1146,occup wear,$400,"thi ray ban style wa design for militari pilot in the one thousand, nine hundred and thirty",aviat
1147,biopic nic,$1000,two thousand and four liam neeson a thi behavior research,kinsey
1148,the circu,$400,funambul is a fanci word for the art of walk thi,tightrop
1149,verb atim,$1000,to destroy someth complet is to do thi verb that 's deriv from the latin for noth,annihil
1150,the someon of somewher,$200,firdawsi known for hi epic book of king ha been call thi greek poet of persia,homer
1151,comput on,$200,often use with ctrl alt thi comput key will remov the letter to the right of the cursor,delet
1152,fruiti languag,$200,you often find thi fruiti adject in front of the word keen when describ someth swell,peachi
1153,shakespearean actor,$200,"in one thousand, nine hundred and eighty-eight val kilmer wa doom to play thi dane at the colorado shakespear festiv in boulder",hamlet
1154,foreign film oscar nation,$1000,"one thousand, nine hundred and sixty the virgin spring",sweden
1155,brit pourri,$400,"the fourth king of thi name rule britannia from one thousand, three hundred and ninety-nine to one thousand, four hundred and thirteen",henri
1156,chemistri,$200,brimston is anoth name for thi light yellow nonmetal element,sulphur
1157,i get no kick from campaign,$200,"he ran for the senat in one thousand, eight hundred and fifty-eight lost two year later he wa elect presid",lincoln
1158,rebellion shays' whiskey,$1000,thousand of whiskey rebel march to the point in thi penn citi but were persuad not to burn the town,pittsburgh
1159,histori,$400,"in one thousand, nine hundred and thirty-five the saar territori wa reunit with thi countri",germani
1160,six educ,$200,it 's the sixth conson in the english alphabet,h
1161,on the go,$200,after tri out three differ type thi fairi tale girl eventu fell asleep in the babi bear 's bed,goldilock
1162,fanci a british date ?,$200,"pinki cleugh on sept ten one thousand, five hundred and forty-seven wa the last of the battl between the royal armi of england thi neighbor",scotland
1163,archaic word,$200,an old term mean to smear with blood now it usual mean to coat with gold,gild
1164,basic scienc,$1000,at the earth 's surfac thi forc produc acceler of about thirty-two foot per second per second,graviti
1165,abbrevi state,$1000,"state whose abbrevi is also a cabinet depart that wa form in one thousand, nine hundred and eighty-nine",virginia
1166,er,$1000,asmara is thi african nation 's capit,eritrea
1167,medicin,$400,for an upper gi you drink thi for a lower gi well we wo n't talk about that,barium
1168,health matter,$1000,the fda advis pregnant woman not to eat shark swordfish they contain high level of thi element,mercuri
1169,german scienc,$1000,nicolai produc thi diseas in anim by inject then with soil mayb watch their littl jaw lock,tetanu
1170,the con is on,$400,the ir say victim can claim loss it stand to refund up to seventeen billion becaus of hi illeg activ,madoff
1171,hat' all folk,$400,proverbi if you 're crazi you might be a mad a one of these maker of men 's headwear,hatter
1172,recent discov ancient roman,$1000,he wa 'live in thi eight letter state of be complet forgotten or unknown,oblivion
1173,middl c,$400,tradit at graduat thi student with the highest grade make a speech,valedictorian
1174,anim movi,$200,lightn mcqueen crash into radiat spring in thi raci two thousand and six flick,car
1175,state first,$200,thi state had the first hospit the first circul librari the first scientif societi endow by ben franklin himself,pennsylvania
1176,samuel johnson' dictionari,$200,to u it 's one who run to keep fit to johnson it wa one who move heavili and dulli,jogger
1177,hammurabi' code,$200,thi number is miss from the code 's two hundred and eighty-two rule babylonian thought it wa evil unlucki,thirteen
1178,end in x,$400,mean artifici or fake it can preced naif or pa,faux
1179,word origin,$1000,thi three letter slang term for forbid or veto come to u from the german for noth,nix
1180,the human element,$400,the most abund metal in your bodi is thi one that build bone,calcium
1181,take a letter,$200,in comic book a seri of thi letter is use to repres a person snore,z
1182,first class,$1000,"in one thousand, eight hundred and ninety-one samuel o'reilli turn edison 's electr engrav pen into the first electr machin to make these sailor",tattoo
1183,bermuda short,$400,bermuda 's lead industri is financi servic thi is no two,tourism
1184,ex odu,$1000,the unfortun condit of some anim speci or the fortun condit of some volcano,extinct
1185,tiviti compani,$400,the qualiti of gener new idea it may be stifl by too mani rule,creativ
1186,histori of drink,$200,date from the 14th centuri the name of thi liquor come from the russian word for water,vodka
1187,diver,$1000,a href http www j archiv com medium two thousand and five twelve twenty-two j sixteen jpg target blank cheryl of the clue crew display a grid of number and empti squar on a monitor a i both divert torment myself do these puzzl with a japanes name that 's becom a worldwid fad,sudoku
1188,so you want to be a firefight,$200,a virginia beach firefight waiv hi right to do thi on or off duti especi we guess in bed,smoke
1189,cocoa channel,$200,there are fruiti cocoa varieti of thi cereal pitch by the flintston,pebbl
1190,where ya from congressman ?,$1000,two thousand and six hous major leader john boehner,ohio
1191,christian denomin in the u s,$1000,a german guy start thi denomin that now ha three six million u s follow,lutheran
1192,what am i have ?,$400,a href http www j archiv com medium two thousand and four six twenty-eight j nine jpg target blank sofia of the clue crew deliv the clue from spain a por favor un plato de chorizo a plate of thi plea,sausag
1193,chimp pourri,$200,"at seventy-four year of age thi one thousand, nine hundred and thirty '40 movi companion of tarzan is the world 's oldest live chimp",cheetah
1194,idea for tourism campaign,$400,keflavik grindavik call to you we 'll throw in a fifty fifty shot at see bjork somewher,iceland
1195,from a to y,$200,the ten command includ thou shalt not commit thi,adulteri
1196,place in the news,$400,"in one thousand, nine hundred and ninety-nine a protest parad wa order to bypass the cathol area along ormeau road in thi citi",belfast
1197,state of the union,$1000,where the columbin grow is it offici state song,colorado
1198,four a s four you,$1000,"the binghi is a central ritual in thi religion found in the late one thousand, nine hundred and twenty in jamaica",rastafarian
1199,safeti first,$200,the boat u s foundat ha a program at waterfront to lend these make sure they fit,lifejacket
1200,potpourri,$200,cirqu du soleil perform it dazzl alegria show at the beau rivag resort in biloxi in thi state,mississippi
1201,let' eat,$1000,boursin a rich chees from normandi is often flavor with the crack type of thi,pepper
1202,an occup or,$1000,the work of kim philbi harriet or to catch sight of suddenli,spi
1203,gee you smell terrif,$1000,thi earthi scent from demet is decrib a a nice pot soil mix with the citru smell of fresh grass,dirt
1204,u n observ,$1000,"intern thi remembr day januari twenty-seven commemor the one thousand, nine hundred and forty-five date on which auschwitz wa liber",holocaust
1205,birdi,$400,"a rapaci bird call the jaeger is a type of thi chosen a an nfl nicknam in one thousand, nine hundred and seventy-five",seahawk
1206,botani,$200,grower of thi pit red pie fruit plant mulberri tree near their orchard to entic bird away,cherri
1207,"one thousand, eight hundred and twelve",$200,"in one thousand, eight hundred and twelve he complet hi 7th 8th symphoni wrote a letter in which he ask can our love endur",beethoven
1208,the fortun five hundred,$1000,the first femal african american fortun five hundred ceo is ursula burn of thi document technolog giant,xerox
1209,m emmi,$1000,"if you do a littl snoop you 'll find that bruce willi won in one thousand, nine hundred and eighty-seven for thi seri",moonlight
1210,two letter word,$400,an italian river or the red teletubbi,po
1211,island hop,$1000,the highest point in thi persian gulf island nation is four hundred and forty-three foot high jabal ad dukhan,bahrain
1212,candi bar,$400,featur crisp rice in creami milk chocol it 's nestl 's loud bar,crunch
1213,the new york time dine wine,$400,the bitten blog discus how these salti littl fish turn up on tradit not so tradit english menu,anchovi
1214,take stock symbol,$1000,you probabl have someth made by thi compani pfe in your medicin cabinet,pfizer
1215,scientist,$400,a law of fall bodi associ with thi italian say that they fall at the same speed regardless of their mass,galileo
1216,the tell tale heart,$400,thi term for an irregular heartbeat is from the greek for without measur,arrhythmia
1217,common bond,$400,helen frankenthal robert rauschenberg roy lichtenstein,artist
1218,infecti diseas,$200,"isol in one thousand, nine hundred and eighty-three the viru that caus aid is known today by thi acronym",hiv
1219,name of the '60,$200,"in one thousand, nine hundred and sixty-six thi former presid wa the veri first recipi of a medicar card",truman
1220,start end with c,$1000,courvoisi is one of the world 's lead maker of thi potent potabl,cognac
1221,the english top one hundred,$200,it 's no one no you do n't get a hint,the
1222,desper measur,$400,there are one hundred and ninety-two of these in twelve pound,ounc
1223,radio wave,$400,art bell 's show from pahrump nevada often discus these object one of which bell say he 's seen,ufo
1224,design,$400,carriag clock had these on top becaus they were design to be carri on carriag,handl
1225,i can't hear myself think,$400,it seem like somebodi turn the low of these anim on high,cow
1226,around the usa,$400,the name of thi island near martha 's vineyard may mean sandi steril soil tempt no one,nantucket
1227,potent potabl,$400,of schumann chopin or verdi the luxuri vodka brand,chopin
1228,stamp,$1000,the constel stamp show starri pattern in the night sky like thi one of a wing hors,pegasu
1229,grave matter,$400,wayn newton hope to find the remain of thi tribal ancestor in britain bring them home to her nativ virginia,pocahonta
1230,numb with number,$1000,it 's the number of year in a french presid 's term of offic in two thousand it wa reduc from seven,five
1231,the third categori,$200,in an olymp swim medley relay race thi insect stroke is the third leg,butterfli
1232,a world of music,$1000,the armenian duduk is one of the instrument on thi uni name greek musician 's ethnic album,yanni
1233,real estat,$400,it 's the deposit of fund or document with a neutral third parti instruct to carri out an agreement,escrow
1234,hold it,$1000,a creel these creatur primarili,fish
1235,ancient time,$1000,in two thousand b c the israelit conquer thi land whose peopl probabl gave them the hebrew languag,canaan
1236,get testi,$400,the a c t colleg entranc exam includ a set of four multipl choic test cover english scienc read thi,mathemat
1237,so what ?,$200,it 's a speech given by a charact in a play while alon to be or not to be for exampl,soliloquy
1238,a short histori of western union,$1000,"in one thousand, nine hundred and sixty-four western union began use these high frequenc beam transcontinent to replac land line",microwav
1239,state capit,$200,thi site wa uninhabit wood when jame doti persuad the wisconsin legislatur to put the capit there,madison
1240,desert,$200,roald dahl 's augustu gloop get hi just de s ert when he fall into a river of thi tri to drink it,chocol
1241,myth legend,$200,mama quilla the moon goddess of these peopl had a templ dedic to her at cuzco in peru,inca
1242,c in biolog,$200,it 's the part of the skull that enclos the brain,cranium
1243,french lesson with mom,$200,a href http www j archiv com medium two thousand and five two four j twelve jpg target blank everyon 's favorit mom cheryl of the clue crew sit at a counter beg let mom help you with your french homework a let 's say you 're at the cafeteria and you think thi meal is delici tell everybodi ce d jeuner est d licieux,lunch
1244,potpourri,$1000,locat about eight five hundred foot up in the and is thi judici capit of bolivia,sucr
1245,what the kid are call it,$200,to grandpa it meant he 'd stir up fed a fire to hi grandson it mean happi or excit,stoke
1246,anim,$400,up to fifty foot in length the whale speci of thi fish is the largest in the sea,shark
1247,nonfict,$1000,oliv sack share some of hi fascin neurolog case in the man who mistook hi wife for a thi,hat
1248,the navi seal,$200,a href http www j archiv com medium two thousand and eight seven twenty-one j twenty-six jpg target blank sarah of the clue crew ride in a boat with some seal at the navi amphibi ba in coronado ca a navi seal are charg with fight terror around the globe the first medal of honor given for servic in thi countri wa to a seal for pursuit of a taliban alli,afghanistan
1249,hi stori,$1000,"in one thousand, eight hundred and forty-two he expand hi one thousand, eight hundred and thirty-five short stori tara bulba into a full length novel",gogol
1250,alma mater,$400,cowork samuel alito elena kagan sonia sotomayor are all graduat of thi new jersey school,princeton
1251,psycho babbl,$400,though norman wear woman 's cloth at time dr richard explain that he is n't one of these cross dresser,transvestit
1252,look out below,$1000,in the biolog taxonomi of anim it 's the six letter classif directli below kingdom,phylum
1253,soft cel,$1000,"the univers of thi seaport citi on the mediterranean wa found in one thousand, four hundred and fifty",barcelona
1254,in god we trust,$1000,john hancock wa a suffer of thi chronic diseas that caus a pain swell of the joint,gout
1255,five squar meal,$1000,thi squar passov food is consid the bread of afflict a well a the bread of redempt,matzo
1256,complet the bibl quot,$1000,for unto you is born thi day in the citi of a saviour,david
1257,notabl nash,$200,"dure the one thousand, nine hundred and twenty charl nash wa presid of a compani that made these",automobil
1258,you can't have one without the other,$400,heard a href http www j archiv com medium two thousand and eight three twenty-four j twenty mp3 here a are the strain of the u s marines' drum thi corp,bugl
1259,food drink,$200,name for it consist it 's a beverag made by blend fruit with yogurt milk or both,smoothi
1260,american museum,$200,fantast figurehead are on display in the mariners' museum in newport news in thi state,virginia
1261,state your busi,$1000,dupont i just wanna say one word to you plastic,delawar
1262,sign symbol,$1000,the same two letter in the same order make up arkansas' postal abbrevi the symbol of thi chemic element,argon
1263,suit me just fine,$1000,it 's a synonym for core or center,heart
1264,danc,$200,"act ii of thi one thousand, nine hundred and forty-eight fairi tale ballet choreograph by frederick ashton is set at a palac ball",cinderella
1265,four letter verb,$200,tv game show host martindal,wink
1266,account exam,$400,asset like land machin are a fix b repair c mend,fix
1267,a bobblehead categori,$200,the bobblehead charact seen a href http www j archiv com medium two thousand and five ten five j twenty-one wmv here a play a pivot role in thi horrif film seri,hellrais
1268,"hit of the one thousand, eight hundred and ninety",$200,"in one thousand, eight hundred and ninety-nine peopl sang about my littl georgia one my wild irish one",rose
1269,barn s,$1000,privat four year woman 's colleg locat at three thousand and nine broadway in manhattan,barnard
1270,green t,$1000,thi republ of west africa with a four letter name ha three green stripe on it flag repres it natur resourc,togo
1271,back to the '50,$1000,"on januari twenty-seven one thousand, nine hundred and fifty-one the u s began atom bomb test in thi state",nevada
1272,conson vowel conson vowel,$1000,to stare with open mouth a in wonder,gape
1273,let' get siriu,$1000,in ancient egypt siriu wa known a the nile star or the star of thi goddess,isi
1274,the onion headlin from the year two thousand and fifty-six,$1000,thi countri bomb back into the renaiss,itali
1275,a littl legales,$200,thi of court may be direct like use insult languag or indirect like refus to obey a law order,contempt
1276,state slogan,$200,land of the midnight sun,alaska
1277,sport,$400,in a two thousand and seven colleg footbal shocker thi team end usc 's thirty-five game home win streak,stanford
1278,yo,$1000,dure the cretac period plesiosaur these fish lizard rule the sea,ichthyosaur
1279,e befor i,$200,thi item worn by a bride might be fingertip or cathedr length,veil
1280,pickl,$400,thi member of the parsley famili with a four letter name is a main flavor agent in pickl,dill
1281,anim in mytholog,$200,if romulu did a got milk ? ad he 'd talk about thi anim who suckl him remu,wolf
1282,harley davidson,$200,"a href http www j archiv com medium two thousand and six three twenty-four j twenty-two jpg target blank sarah of the clue crew report from harley davidson in wisconsin a a href http www j archiv com medium two thousand and six three twenty-four j 22a jpg target blank thi a veri first harley from one thousand, nine hundred and three had a product run of three three wa also the number of these unit it put out while today 's bike are often one hundred and twenty-five",horsepow
1283,around the mediterranean,$400,go clockwis around the mediterranean it 's the next nation capit after tuni,algier
1284,food stuff,$1000,what fear folk call frankenfood is defin a gm short for food modifi thi way,genet
1285,woman write on,$200,it 's the first name share by novelist michael cartland taylor bradford,barbara
1286,fruit veget,$200,mangoldwurzel use for cattl feed is a varieti of thi red root veget,beet
1287,blackjack,$400,under vega strip rule a dealer must stand with thi minimum soft or hard,seventeen
1288,say bon,$200,hello it mean hello or good day,bonjour
1289,a shakespear play for open,$400,othello open with roderigo address thi villain tush never tell me i take it much unkindli,iago
1290,countri of origin,$1000,citgo a in ga go south,venezuela
1291,biolog,$1000,in cell divis mitosi split the nucleu cytokinesi split thi liquid cushion the nucleu,cytoplasm
1292,with or without u,$200,sir walter of disney had a wonder world of thi,color
1293,cloth,$400,worn by woman in rio it 's call floss dental or dental floss caus it 's mainli a string,bikini
1294,pardon my polish,$200,on the simpson in warsaw bart is a brat one of these to lisa,brother
1295,middl english class,$400,from the middl english for uncondit it preced zero at about four hundred and fifty-nine f,absolut
1296,fire,$1000,"after a one thousand, six hundred and twenty-four fire christian iv replan thi northern european citi renam it christiania",oslo
1297,weather,$400,though name for snow it 's the dirtiest state in the u s,nevada
1298,know your muppet,$200,origin a backstag worker on the muppet show rizzo is one of these anim,rat
1299,the five year plan,$400,in two thousand and five an ex klan member wa found guilti in the death forty-one year befor of three civil right worker in thi state,mississippi
1300,militari nicknam,$200,the littl corpor of the 19th centuri,napoleon
1301,c in biolog,$1000,thi coil part of the inner ear that 's concern with hear contain the organ of corti,cochlea
1302,anim planet ?,$400,slang for your foot or a verb mean track persist,dog
1303,i play the drum,$200,a href http www j archiv com medium two thousand and seven two nineteen j one jpg target blank jon of the clue crew deliv the clue from the drummer 's throne a a common rock roll pattern is a href http www j archiv com medium two thousand and seven two nineteen j one mp3 thi one a which stress the 2nd and 4th beat it 's also the titl of a movi about the beatl,backbeat
1304,astronomi space,$400,also call the dog star it 's the brightest star in the night sky,siriu
1305,the jet,$400,the first onli jet aircraft use by thi nation 's air forc in wwii wa the gloster meteor,england
1306,i protest,$200,"in one thousand, nine hundred and eighty-eight thi countri 's bicentenni celebr wa protest by aborigin a a day of mourn",australia
1307,silent g,$400,a gold coin onc use in great britain or the chief of state in a monarchi,sovereign
1308,three letter word,$200,an inexperienc person is thi 'behind the ear,wet
1309,slogan,$400,you 'll wonder where the yellow went when you brush your teeth with thi,pepsod
1310,three letter word,$1000,in tenni it 's a high arc shot that ideal land in play behind your oppon,lob
1311,they got it on ebay,$400,"a colo woman paid four hundred and fifty-five for water from a cup thi guy drank from in one thousand, nine hundred and seventy-seven he left the build soon after",elvi
1312,all american reject,$1000,in june two thousand and nine thi u s car compani lost it place on the dow jone industri averag,gm
1313,e for effort,$400,the solar type of thi event happen when the moon come between the sun the earth,eclips
1314,build part,$200,it 's a rais section of a room where you store hay or an upper stori room for artist,loft
1315,bermuda short,$1000,labor from the azor the madeira island help make thi the second most common languag spoken in bermuda,portugues
1316,u s geographi,$400,"a href http www j archiv com medium two thousand three thirteen j fourteen jpg target blank hi i'm jason elam of the denver bronco a in one thousand, nine hundred and ninety-eight i earn a trip to the nfl 's pro bowl held each year in thi citi where i play colleg ball",honolulu
1317,titl anim of kids' book,$200,e b white the trumpet of the,swan
1318,the art of war,$400,"the bomb of thi spanish citi in one thousand, nine hundred and thirty-seven inspir a famou paint by picasso",guernica
1319,african americana,$200,"in one thousand, nine hundred and sixty-four martin luther king becam the first african american name thi magazin 's man of the year",time
1320,constantin,$1000,now iznik turkey thi citi host an import christian council call by constantin in three hundred and twenty-five,nicaea
1321,nfl record,$400,"appropri it 's the record number of safeti by a player in one game l a 's fred dryer ate up green bay on oct twenty-one one thousand, nine hundred and seventy-three",two
1322,french cuisin,$400,ceris a l'allemand are these fruit preserv in vinegar sugar for at least two week,cherri
1323,travel abroad,$200,you can rest up at the churchil claridg 's or the ivanho suit hotel in thi citi,london
1324,that' my drink,$1000,tequila tomato juic lemon juic tabasco worcestershir sauc the variat bloodi,maria
1325,whose lime is it anyway ?,$400,the use of calcium oxid lime in earli theatric lamp give u thi term for the focu of public attent,limelight
1326,strawberri,$400,a dessert of liqueur soak strawberri whip cream is name for thi tsar spangl famili,romanov
1327,photographi,$200,"a one thousand, nine hundred and eighty pulitz winner for a shot of an execut in thi ayatollah rule countri wa anonym until two thousand and six",iran
1328,ancient roman stand up comedi,$1000,jimmi of the clue crew deliv from an open mic in a small club a href http www j archiv com medium two thousand and four nine twenty-nine j sixteen mp3 how about vari 's armi be wipe out in the forest in thi countri ? that 's like me be in the arena against spartacu a,germani
1329,sound like ig pay atin lay,$400,the two thousand robert mondavi one ha nuanc of hazelnut goe well with salmon,chardonnay
1330,man d,$1000,a a runaway slave frederick augustu washington bailey chang hi name to thi to avoid captur,douglas
1331,fundrais,$200,keep a big donor 's gift flow put him on thi of director or of governor,board
1332,packag,$200,peanut of thi plastic are found in box of various shape product then in your hair shoe etc,styrofoam
1333,new jersey busi industri,$200,"it trademark rock of gibraltar made it debut in one thousand, eight hundred and ninety-six",prudenti
1334,languag,$400,dure the middl age thi languag spoken in amsterdam wa known a diet,dutch
1335,roman,$1000,under claudiu the roman troop conquer britain found the current capit citi they call thi,londinium
1336,let' get bizet,$200,"georg bizet wa born on oct twenty-five one thousand, eight hundred and thirty-eight in thi capit wa admit to it conservatori by age ten",pari
1337,come ho chi minh,$200,ho chi minh is buri in thi capit citi,hanoi
1338,real simpl new use for old thing,$1000,plant a banana peel at the base of a rose bush thi element in the peel feed the plant fend off diseas,potassium
1339,dure dimaggio' hit streak,$400,british free french forc took syria from thi collaborationist french govern,vichi
1340,game,$400,the cup of the america is up for grab in match between the u s argentina in thi mount game,polo
1341,swim,$200,in thi stroke not seen in competit the head rest on the arm while the leg scissor kick,sidestrok
1342,sometim b c,$1000,"in the one thousand, four hundred b c egypt rule these supersailor of what 's now lebanon",phoenician
1343,heteronym,$200,to plant seed or a femal hog,sow
1344,the bibl,$400,the birth of john jesu were herald by thi archangel,gabriel
1345,herb spice,$400,in greek mytholog pluto 's wife persephon turn the nymph mentha into thi herb,mint
1346,hey ya,$1000,slang word for a convict or a charli parker nicknam,yardbird
1347,blog of the new york time,$1000,like hi book rogu economist steven levitt explor the hidden side of everyth in thi blog,freakonom
1348,washington lincoln or georg w bush,$200,wa born a british subject,washington
1349,dine out,$1000,at the oliv garden you might start off with thi dish of chop tomato basil oliv oil on ciabatta toast,bruschetta
1350,"septemb one thousand, nine hundred and eighty-four",$200,effect like the follow kept thi june releas in the top five film all the way into septemb,ghostbust
1351,c you at the movi,$400,"cari grant wa game to co star with audrey hepburn in thi romant one thousand, nine hundred and sixty-three thriller",charad
1352,fashion,$200,princ william 's alma mater thi school known for it play field had a jacket name for it,eton
1353,presidenti creation,$1000,with ex assist atti gen ruckelshau a it 1st administr the epa came into be under thi republican pre,nixon
1354,biblic militari men,$400,benaiah wa command of thi wise king 's armi,solomon
1355,world press,$400,el periodico de catalunya is the second largest newspap serv thi second largest spanish citi,barcelona
1356,21st centuri world leader,$400,not mani world leader could say my wife onc date mick jagger eric clapton thi french presid can,sarkozi
1357,revolv restaur,$400,"in one thousand, nine hundred and sixty-one la rond at the ala moana offic tower in thi state capit becam the first revolv restaur",honolulu
1358,gem jewelri,$200,thi highli prize form of corundum get it red color from minut amount of chromium,rubi
1359,color,$400,in name of color it follow aqua ultra,marin
1360,q without u,$200,thi adject refer to a keyboard that 's like a tradit typewrit with six particular letter at the upper left,qwerti
1361,when they were in colleg,$1000,meryl streep star in a campu product of miss juli a an undergrad at thi poughkeepsi colleg,vassar
1362,relat song titl,$200,in examin her top forty hit who better to dress you up than a materi girl ?,madonna
1363,g whiz,$200,proverbi to work hard is to keep your nose to thi,grindston
1364,literari charact,$200,though the son of lord greystok thi swinger wa rais in the jungl by ape,tarzan
1365,20th centuri innov,$400,the modern oil pump unit wa develop by w c trout of lufkin industri base in thi state,texa
1366,world leader,$400,thi 1st presid of indonesia wa the son of a javanes school teacher hi balines wife,sukarno
1367,ist a job,$1000,it may be a zoologist or a botanist your child who collect specimen is a bud one,naturalist
1368,where ya from congressman ?,$400,john quinci adam after the presid,massachusett
1369,fashion from head to toe,$1000,the french name of these casual summer shoe deriv from a tough wiri grass that 's use to make rope,espadril
1370,music number,$200,the commodor time a ladi,three
1371,fairi tale femm,$200,she ate the window pane of the witch 's cottag,gretel
1372,the english beat,$1000,centenari squar in the center of thi citi is it main cultur center alabama ha a citi by that name a well,birmingham
1373,around the hous,$1000,it 's the ten letter area between the first floor joist the earth 's surfac where you keep crazi uncl harri,crawlspac
1374,holiday observ,$200,on march twenty-six thi state honor princ jonah kuhio who becam a deleg to congress,hawaii
1375,church,$1000,kiev 's st sophia wa inspir by a cathedr built in thi citi,istanbul
1376,in the mi dd le,$1000,to interfer unwantedli in someon el 's affair,meddl
1377,high school footbal,$200,the alabama high school athlet associ say the most import health safeguard dure workout is plenti of thi,water
