,category,value,ques,ans
584,no three song,$200,her true blue peak at no three just a few week after papa do n't preach top the chart,madonna
585,chemistri,$200,brimston is anoth name for thi light yellow nonmetal element,sulphur
586,name that nation,$200,offici popul one three billion,china
587,two thousand news,$1000,in june the leader of north south korea met for talk in thi capit of north korea,pyongyang
588,behind bar,$1000,thi term for the macer of fruit in a bar use a pestl can also mean to make unclear,muddl
589,doubl t s,$1000,with hi larg head flat nose short squar bodi thi leader of the hun wa hardli a hunk,attila
590,sculptor,$200,dustin shuler wa best known for spindl in which he impal eight of these on a giant spike liter a pile up,car
591,i want to hold your hun,$1000,the hun onli sack milan thi group destroy it le than one hundred year later in five hundred and thirty-nine,goth
592,italian art,$200,"sculpt by michelangelo around one thousand, five hundred and fifteen he 's the hebrew leader seen here",mose
593,scrambl egg,$200,it egg weigh around three pound each rich sot,ostrich
594,it float,$200,the lightest wood use commerci it 's use to build model airplan some kind of buoy,balsa
595,c creatur,$200,although most do n't have nearli that mani it name mean one hundred foot,centiped
596,ancient roman,$1000,thi orat wrote let arm yield to the toga the laurel crown to prais,cicero
597,auto haiku,$1000,it titan pickup thirty-seven gallon tank four hour fill up,nissan
598,the bibl,$200,i corinthian seven nine state it is better to marri than to do thi,burn
599,say the magic word,$200,scholar do n't know the origin of thi magic word one theori is that it come from hebrew berakah bless,abracadabra
600,spell check hell,$200,confound it spell check just chang chancr into thi 14th c author of some tale,chaucer
601,brand,$1000,thi compani 's first wash machin were so simpl a child could do it,maytag
602,a countri in europ,$200,most ruin of the civil of the ancient spartan athenian can be found in thi european nation,greec
603,a number from one to ten,$200,american express card number start with three mastercard number with thi digit,five
604,languag,$1000,"gaspar karolyi 's translat of the bibl in one thousand, five hundred and ninety wa influenti in the develop of thi a a nation languag",hungarian
605,in old detroit,$200,"in one thousand, seven hundred and one cadillac found detroit a a good spot to trade in these",fur
606,you just made the a list,$1000,you are so smart your brillanc match that of thi ancient philosoph who wa a student of plato,aristotl
607,it' on the map,$1000,twenti million strong border countri of south africa seen a href http www j archiv com medium two thousand and six five ten j twelve jpg target blank here a,mozambiqu
608,foreign fund,$200,to buy sixteen ounc of cooki in cairo you 'll need the egyptian thi,pound
609,i'm serv t,$1000,you look queasi like most of my dinner guest you need the ultra one thousand version of thi heartburn relief,tum
610,geographi,$200,in area it 's the largest countri in the world that ha a red white blue flag,russia
611,on the british monarchy' websit,$1000,befor elizabeth ii queen victoria wa the last monarch to celebr the anniversari call a golden thi,jubile
612,nation station,$1000,iraq 's shortest nation border is with thi monarchi,jordan
613,jepoetri,$1000,ernest l thayer the outlook wa n't brilliant for the jeopardi nine that day,mudvil
614,more vowel than conson,$200,all thing be thi mean a great a we know you 're thi to the task,equal
615,toni montana,$1000,thi citi home to the univers of montana is the gateway to the cultur corridor of western montana,missoula
616,movabl feast,$200,the 40th day after easter commemor thi rise of christ into heaven,ascens
617,american histori,$200,"thi pact among the u s mexico canada took effect in one thousand, nine hundred and ninety-four aim to elimin tariff by two thousand and eight",nafta
618,compani,$200,thi warehous club ha over forty-three million member some of them gold star lug home the big jar of mayo,costco
619,they live past one hundred,$1000,new york socialit philanthropist brook whose husband vincent wa an heir to thi famili 's fortun die in two thousand and seven at one hundred and five,astor
620,israel,$200,if you 're get engag consid a visit to netanya a world center for cut polish these,diamond
621,c is for,$200,cribbag a game in which thi is the valu of a face card a in blackjack,ten
622,biblic quot,$200,it is easier for thi anim to go through the eye of a needl than for a rich man to enter the kingdom of god,camel
623,colleg univers,$200,thi state 's transylvania univers in lexington wa onc call the harvard of the west,kentucki
624,summertim,$1000,in houston in the summer thi averag over ninety for the morn,humid
625,cat,$1000,a href http www j archiv com medium two thousand and seven nine fourteen j fifteen jpg target blank thi a asian name cat is produc by mate siames and longhair and then select breed them,himalayan
626,ancient roman stand up comedi,$1000,jimmi of the clue crew deliv from an open mic in a small club a href http www j archiv com medium two thousand and four nine twenty-nine j sixteen mp3 how about vari 's armi be wipe out in the forest in thi countri ? that 's like me be in the arena against spartacu a,germani
627,formerli known a,$1000,"a dutch guiana until one thousand, nine hundred and forty-eight",surinam
628,revolv restaur,$1000,you 'll glide past part of the live with the land ride while dine at the garden grill in thi disney world park,epcot
629,a trip to rio de janeiro,$1000,a href http www j archiv com medium two thousand and eight one eleven j twenty jpg target blank jimmi deliv the last clue behind a serv counter of a cafe a i'm at the famou caf confeitaria colombo where thi word doe n't just mean a person who live here in rio but a coffe drink with ad hot water,carioca
630,librari,$200,the greater amman public librari is one of the major librari in thi middl eastern countri,jordan
631,tale of brave ulyss,$1000,ulyss spent a year on the island of aeaea in the compani of thi witch who turn men into pig,circ
632,holiday observ,$1000,temporari shelter that may be decor are built for sukkot a festiv of thi religion,judaisim
633,the gideon bibl,$200,what the bibl say about thi place is in flame fire take vengeanc on them that know not god,hell
634,along came a spider,$200,in name of spider it follow red brown vari of cours black,widow
635,websit,$1000,these two letter follow web in the name of the two thousand and ten webbi award winner in the health categori,md
636,radio citi,$1000,the one hundred zero watt voic of georgia state univers wra in thi citi is the most power all student run u s radio station,atlanta
637,through the wood,$200,it preced alder hazel you may ask if it 's a good one or a bad one,witch
638,food fact,$200,olympia one are often eaten on the half shell,oyster
639,crossword clue f,$1000,it 's spoken in hameenlinna hyvinkaa seven,finnish
640,famou first,$200,"introduc in one thousand, eight hundred and thirty-two the john mason new york citi 's first street car wa power by these",hors
641,winter wonderland,$1000,thi plant gaultheria procumben produc an oil use in medicin a a flavor,wintergreen
642,the world' most expens paint,$200,"in one thousand, nine hundred and eighty-seven a href http www j archiv com medium two thousand and five ten twenty j sixteen jpg target blank thi a van gogh work sold for fifty-three nine million then a record price for a work of art",iris
643,food specif,$1000,mascarpon is a soft italian thi,chees
644,mother nature' strang idea,$200,spill of thi are bad for shore bird but good for a speci of fli whose larva feed in them,oil
645,name the instrument,$1000,in the byrds' mr man,tambourin
646,the emerald isl,$200,with more than five hundred zero inhabit it 's ireland 's most popul citi,dublin
647,around the hous,$1000,it 's the ten letter area between the first floor joist the earth 's surfac where you keep crazi uncl harri,crawlspac
648,the 19th first annual ig nobel prize,$1000,a math prize to thi african countri 's reserv bank for give folk the chanc to use big number like one hundred trillion,zimbabw
649,the ten command,$1000,the command forbid bear fals thi against your neighbor,wit
650,you can tell by the way i use my walk,$200,better be a mint on my pillow a stay at a hotel on thi monopoli game properti cost two grand,boardwalk
651,the natur of thing,$1000,rock on thi compos of silicon dioxid is the most abund miner in the continent crust,quartz
652,ism,$200,it can refer to activ for better product or to a passion for purchas,consumer
653,state slogan,$200,land of the midnight sun,alaska
654,what happen in vega,$200,"in one thousand, eight hundred and fifty-five a group of these missionari settl in what 's now la vega brigham young help them build a mine",mormon
655,biblic voic,$200,thi apostl lift up hi voic address the crowd at pentecost,peter
656,the name have been chang,$200,dippi dawg wa the origin name of thi disney charact,goofi
657,vocabulari,$200,mean savag cruel it come from the latin trux which mean fierc,trucul
658,peopl,$1000,"april two one thousand, nine hundred and ninety hollywood star protest thi pesticid which come in on medfli wing and a sprayer",malathion
659,cut the mustard,$1000,prepar mustard get it bright yellow color from thi asian spice that 's also in curri powder,turmer
660,sign symbol,$200,the cross seen here is use a a symbol in the battl against thi diseas abbrevi tb,tuberculosi
661,music theatr,$200,max the dog narrat the hit music about how the grinch stole thi holiday,christma
662,short order shorthand,$1000,i need a stack of vermont pronto thi breakfast favorit,pancak
663,big star,$1000,it 's a dessert made of egg sugar milk either bake boil or frozen,custard
664,easi a b c d,$1000,termin in two point like certain teeth,bicuspid
665,guin record,$1000,siberia in thi countri ha had the greatest rang in temperatur from ninety-eight degre f to ninety degre f,russia
666,aye pad,$200,compos priest giovanni martini is known by thi fatherli titl,padr
667,rhyme squad,$1000,land to which cain fled in the bibl,nod
668,notabl nash,$200,"dure the one thousand, nine hundred and twenty charl nash wa presid of a compani that made these",automobil
669,around the usa,$1000,"the u s naval academi open in one thousand, eight hundred and forty-five in thi state",maryland
670,nation anthem,$200,ye we love thi land sing the fjord dweller of thi countri,norway
671,around the usa,$200,in the two thousand censu de moin cedar rapid were the onli two citi in thi state with popul of more than one hundred zero,iowa
672,clown around,$200,in a classic mari tyler moor show episod thi clown bite the dust when he 's crush by an eleph,chuckl
673,head north,$1000,part of tennesse 's northern border is with missouri virginia but the longest section is with thi state,kentucki
674,your for an ong,$1000,shape of poe 's titl box,oblong
675,other civil war,$1000,"a one thousand, nine hundred and twenty-one treati divid the island demand a fidel oath that brought about a civil war in thi countri",ireland
676,around the farm with clem,$200,sinc he had no grain to store clem tri to sell thi cylindr structur to the armi for missil,silo
677,mysteri meat,$200,demon adject that describ a type of can ham or an egg appet,devil
678,th at' that,$1000,it 's anoth name for vitamin b one,thiamin
679,incred edibl,$200,thi herb of the mint famili may be use a a season but watch out it 'll drive your kitti wild,catnip
680,lesser known folk,$200,david henni is the inventor of the henni shear joint use in build these includ the boulder grand coule,dam
681,territori governor,$200,"in decemb one thousand, nine hundred and forty-one joseph poindext governor of thi territori declar martial law",hawaii
682,c world,$200,the name of thi tennesse citi is from the creek mean rock rise to a point not choo choo,chattanooga
683,i'm surpris,$200,see the unexpectedli high price of a car can put you into the sticker type of thi,shock
684,fantast film,$200,"thi huge creatur 1st waddl through tokyo it suburb in one thousand, nine hundred and fifty-six",godzilla
685,killer,$200,"the aum shinrikyo cult wa behind a march one thousand, nine hundred and ninety-five nerv ga attack on thi citi 's subway",tokyo
686,american idol,$1000,on season six hi fifteen minut of fame includ a host of hairdo he even inspir an snl sketch,sanjaya
687,brand name,$1000,the bird 's nest logo of thi chocol brand come from it founder 's coat of arm,nestl
688,hall of fame,$1000,lydia hall is in the washington d c hall for those in thi profess so is dorothea dix,nurs
689,seventeen,$200,the 17th amend fix the term length of these electe at six year,senat
690,cityscap,$200,longyearben one of the northernmost citi is capit of thi countri 's arctic territori of svalbard,norway
691,fre dom,$1000,it 's the art of paint on a moist plaster surfac with color ground up in water,fresco
692,v ocabulari,$200,proverbi speak it 's the spice of life,varieti
693,x q s me,$1000,alphabet it 's last of the nobl gase,xenon
694,"one thousand, eight hundred and one one thousand, eight hundred and ten",$200,"in octob one thousand, eight hundred and four lewi clark prepar to spend the first winter of their trip near thi present day n d capit",bismarck
695,oid,$1000,"alexand park develop thi synthet plastic materi in one thousand, eight hundred and fifty-six",celluloid
696,on the money,$1000,a href http www j archiv com medium two thousand and eight eleven eleven j twenty-one wmv jimmi of the clue crew explain with an anim illustr on the monitor a the most common theori of the origin of the dollar sign is that instead of write p a a plural peopl start put the s over the p the p stood for thi,peso
697,a brief histori of thyme,$200,thyme honey from the iblei mtn on thi larg mediterranean isl ha been a delicaci for centuri,sicili
698,art,$200,the thinker guard the entranc to the philadelphia museum devot to thi sculptor,rodin
699,planet on earth,$1000,though not larg enough to be an offici planet pluto resid on thi largest philippin island,luzon
700,you'r the man now dog,$200,thi term for a small dog held on a seat person 's leg also appli to a man who doe others' bid,lapdog
701,on the head,$1000,a href http www j archiv com medium two thousand and seven five eighteen j ten jpg target blank kelli of the clue crew report a from the latin for track it 's the somewhat spacey term use by doctor for these caviti in your skull,orbit
702,prophet share,$1000,on the sistin chapel ceil michelangelo includ some of these ancient oracl like prophetess,sibyl
703,china in the museum,$1000,taipei 's nation palac museum 's collect of thi visual art form includ poem in seven charact vers,calligraphi
704,what do you stand for ?,$1000,it 's what the q stand for in qanta an airlin 's acronym,queensland
705,mnow your mnemon,$1000,the squaw on the hippopotamu is equal to the sum of the squaw on the other two side is for thi guy 's theorem,pythagora
706,ph un with word,$200,type of game bird that 's tradit serv under glass,pheasant
707,take a shot,$1000,word for the larg size of shot use for deer hunt,buckshot
708,oprah' first,$200,a href http www j archiv com medium two thousand and eleven three four j twenty-one jpg target blank oprah winfrey give the clue a for a two thousand and five show on age defi thing for woman i had thi part of my bodi stab with a special gun i wa told the two click would hurt a littl yeah right,ear
709,can't smile without you,$200,an adjunct to a toothbrush it can be nylon or silk thread wax or unwax,floss
710,literari charact,$1000,"in a one thousand, nine hundred and nine sequel thi girl of green gabl return to avonlea to teach school",ann
711,multi task,$1000,from the latin for mani side it 's an adject for diplomat talk between more than two parti,multilater
712,c'mon you had to expect nebraska,$200,"in one thousand, eight hundred and sixty-seven the citi known a lancast wa renam thi to honor a fallen leader",lincoln
713,literari characters' e mail,$1000,to gener island mail from asthmaboy subject my name i'm not happi with the porcin name you boy gave me,piggi
714,the fifty state,$200,the diaton or cajun accordion is the offici music instrument of thi state,louisiana
715,all ear,$200,measur about five foot wide the ear of the african speci of thi are the largest of ani anim,eleph
716,name that mammal,$1000,marsupi that come in a virginia type,opossum
717,potent potabl,$200,a knickerbock cocktail contain gin a well a the sweet dri type of thi,vermouth
718,ten eleven twelve letter word,$1000,next to the last it 's from latin word mean almost last,penultim
719,histori,$1000,a suprem court decis in two thousand said right name for thi man were embed in routin polic practic,miranda
720,states' first newspap,$1000,"deseret news one thousand, eight hundred and fifty",utah
721,singer,$200,the rapper known a kri kross kreat a kraze by wear their over kloth in thi unusu way,backward
722,start end with w,$1000,in natur thi word can follow black on fall sunday it can follow footbal,widow
723,good eat with alton brown,$1000,a href http www j archiv com medium two thousand and nine two six j ten jpg target blank so you wanna freez some broccoli but you also wanna make sure that it stay bright green month on down the line ? well you might want to employ thi hot water cold water process a,blanch
724,too much,$200,fight feroci you go at it thi nail,tooth
725,four letter organ,$1000,the aagc is the american academi certifi these counselor who pop up when tragedi strike,grief
726,antibiot,$1000,"thi antibiot often use to treat acn wa discov in one thousand, nine hundred and forty-eight",tetracyclin
727,gemston,$1000,a href http www j archiv com medium two thousand and seven five twenty-eight j twenty-five jpg target blank cheryl of the clue crew show off her stone a a href http www j archiv com medium two thousand and seven five twenty-eight j 25a jpg target blank it 's a one of the onli natur gemston to show play of color the flash of differ color within the same stone,opal
728,assembl line,$1000,a href http www j archiv com medium two thousand and ten two sixteen j thirty wmv alex report from the line at the ford motor compani in dearborn mi a to increas manufactur effici the engin will fit not onli the truck here but a whole varieti of other which make it thi kind of interchang part from the latin for unit of measur,modular
729,v like seven letter word,$1000,it mean boldli courag or brave a in a comic strip princ,valiant
730,asian capit,$200,"thi philippin capit wa so devast dure wwii that quezon citi serv a interim capit from one thousand, nine hundred and forty-eight to one thousand, nine hundred and seventy-six",manila
731,four letter cloth,$200,piec that turn a man 's two piec suit into a three piec suit,vest
732,state capit,$200,the state capit out in the middl of the pacif ocean,honolulu
733,anim group,$200,gather a group of these anim in wisconsin you 'll have a cete,badger
734,you just have to ask,$1000,gordi howe got hi first pair of skate grow up in thi canadian citi,saskatoon
735,state capit idea,$200,"it serv a the gateway to the one thousand, eight hundred and forty-nine california gold rush",sacramento
736,gilligan' island,$200,the island seen in the credit of gilligan 's island is in kaneoh bay near thi most popul hawaiian island,oahu
737,ghost,$1000,in the first book of samuel samuel 's ghost appear to thi king of israel predict hi militari defeat,saul
738,crossword clue l,$1000,accolad one might rest on seven,laurel
739,ancient time,$1000,in two thousand b c the israelit conquer thi land whose peopl probabl gave them the hebrew languag,canaan
740,gem jewelri,$200,the vivid green color of thi may birthston wa onc thought to be good for the eyesight,emerald
741,south american wildlif,$200,jeff probst in the amazon abund in south america these carnivor fish are renown for their feroc have razor sharp teeth,piranha
742,anagram univers,$1000,"found in one thousand, seven hundred and sixty-nine mod art hut",dartmouth
743,the english top one hundred,$200,it 's no one no you do n't get a hint,the
744,word in novemb,$1000,three letter synonym for caviar,roe
745,comput on,$200,often use with ctrl alt thi comput key will remov the letter to the right of the cursor,delet
746,get a job do don't,$1000,on a cover letter do n't be thi repetit from the latin for overflow you should n't it 's import not to,redund
747,the appl of my eye,$1000,thi speedi mac softwar let you watch movi or graphic on your pc or mac comput,quicktim
748,unbreak,$1000,herm gave thi mythic hero an unbreak sword he use to cut medusa into gorgon zola,perseu
749,brain candi,$200,exampl of these pain in the brain includ the cluster tension varieti,headach
750,fake it,$200,to deceiv someon is to pull thi materi over the eye,wool
751,celebrities' middl name,$200,the l in samuel l jackson stand for thi like a certain bad bad mr brown of song,leroy
752,hide on the internet,$1000,"type in six hundred thousand, six hundred and seventy-three com bring up thi search engin in onlin leet speak",googl
753,ow,$1000,it 's a comparit short barrel cannon use to reach a target behind cover,howitz
754,p s q s,$1000,in mexico the juic of certain agav is use to make thi milki ferment drink,pulqu
755,busi word,$200,thi word for some door also appli to credit that maintain a limit requir period payment,revolv
756,print,$200,a halfton print is realli an optic illus it 's actual lot lot of these that seem to form an imag,dot
757,busi industri,$1000,milan compani known for it tire sexi calendar,pirelli
758,money money money,$1000,the fifty zero rial note of thi middl east countri is seen a href http www j archiv com medium two thousand and eleven ten ten j fourteen jpg target blank here a,iran
759,oh brother,$1000,if he had kill hi brother first we might have had the reman empir,remu
760,medic,$1000,prozac is an ssri the second s stand for thi chemic thought to be effect in treat depress,seratonin
761,time piec,$1000,"a href http www j archiv com medium two thousand and eleven seven twenty-five j twenty jpg target blank sarah of the clue crew present the clue from the mayer museum in jerusalem a a href http www j archiv com medium two thousand and eleven seven twenty-five j 20a jpg target blank thi a pistol which mark the hour with the sound of a shot wa made in the earli one thousand, eight hundred in thi countri fulfil it reput for clock make but not so much for peaceabl",switzerland
762,wanna bet ?,$1000,in thi fanci schmanci card game it 's just who get closest to a total of nine who win,baccarat
763,religion,$200,thi religion wa creat by a man who wrote western horror scienc fiction stori,scientolog
764,the replac,$1000,thi cell divis process in which a cell 's nucleu replic is vital for repair replac of worn out cell,mitosi
765,the weasel famili,$1000,a a verb it name mean to drive out or uncov it 's use in europ to drive rat out of tunnel,ferret
766,odd old obscur vocabulari,$1000,lacteou describ someth that 's the color of thi substanc,milk
767,video game,$1000,with the green lantern wonder woman superman you 've got to be game in a href http www j archiv com medium two thousand and ten eleven nine j twenty-one wmv thi a comic book label 's univers,dc
768,sign symbol,$1000,a href http www j archiv com medium two thousand and ten one twenty-two j twenty-two jpg target blank kelli of the clue crew report from santiago de compostela in spain a pilgrim can find santiago de compostela by a href http www j archiv com medium two thousand and ten one twenty-two j 22a jpg target blank these a shell the symbol of st jame one theori is that the converg line repres pilgrim come from all over,scallop
769,asian histori,$200,in a two thousand and three annual cost of live survey it wa rank a the world 's most expens citi,tokyo
770,ancient time,$200,the ancient egyptian were a polytheist peopl mean they had mani of these,god
771,king jame bibl beast,$1000,sinc leviticu nineteen nineteen expressli forbid thi mule are not allow,crossbreed
772,world capit,$1000,south africa actual ha three capit bloemfontein cape town thi one,pretoria
773,the 19th centuri,$1000,"in one thousand, eight hundred and forty-eight mysteri rap in a hous in new york state led to the cult of thi paranorm ism",spiritu
774,sound like one letter,$1000,femal creatur seen a href http www j archiv com medium two thousand and nine two nine j twenty-nine jpg target blank here a,ewe
775,food e,$200,begin sushi eater often start out with unagi thi fish that 's been cook bast with a sweetish sauc,eel
776,world histori,$200,"william laud an archbishop of thi who oppos the puritan wa behead on tower hill in one thousand, six hundred and forty-five",canterburi
777,around the dungeon,$200,thi small devic put a littl pressur on your hitchhik digit,thumbscrew
778,polit lingo,$1000,spiro agnew spoke of natter these of negativ,nabob
779,hey babi i'm preme,$1000,organ chem is easi onc you get thi concept of an atom 's combin capac also appli to some electron,valenc
780,travel europ,$1000,for a great view of thi capit citi climb to the top of lykavitto hill or take the funicular from kolonaki,athen
781,toy game,$200,make no apolog for thi classic board game the game of sweet reveng,sorri
782,nice to meat you,$1000,a western n y citi know cut of thi hump cattl famili member are lower in fat cholesterol than most cut of beef,buffalo
783,area of expertis,$200,dr luci jone is part of the hazard team for these event at the u s geolog survey in pasadena,earthquak
784,follow the leader,$1000,"a former foreign minist fernando cardoso becam presid of thi larg south american countri in one thousand, nine hundred and ninety-five",brazil
785,music instrument maker,$200,gottfri silbermann pull out all the stop build thi for dresden 's katholisch hofkirch,organ
786,crazi top forty tune,$1000,"but we 're never gonna surviv unless you name thi artist who hit the top ten in one thousand, nine hundred and ninety-one with crazi",seal
787,u s bodi of water,$1000,name for the southern poet lake sidney lanier is a popular manmad lake in thi state,georgia
788,fashion trend,$1000,jibbitz make a line of decor to dress up these color clog like shoe,croc
789,tv weapon,$1000,yanci butler a sara pezzini wield thi titl sword that 's a mystic shape shift talisman of power,witchblad
790,drive the green,$200,becaus you 've got better thing to do than plug in and wait the batteri of thi co 's civic hybrid recharg itself,honda
791,road to rhode island,$1000,befor the european a few thousand of these indian live on the rhode island bay that share their name,narragansett
792,cab array,$200,you might want to take a water taxi to thi citi 's piazza san marco but mamma mia it can be pricey,venic
793,myth in action,$1000,in greek mytholog medea fall for thi man help him steal the golden fleec,jason
794,anniversari gift,$200,it 's a nice gift for the 35th but if you take it out of a u s reef you may be arrest,coral
795,hold it,$1000,a creel these creatur primarili,fish
796,playbil,$1000,it 's the last name of the great dame a href http www j archiv com medium two thousand and six eleven thirteen j eight jpg target blank seen a a href http www j archiv com medium two thousand and six eleven thirteen j 08a jpg target blank here a who in two thousand and four wa back with a vengeanc,everag
797,twelfth night,$200,deal with a beastli tripl header wa thi man 's famou twelfth labor,hercul
798,cain abel,$200,the stori of cain abel is told in thi book of the old testament,genesi
799,you'r under a rest,$1000,the son of agamemnon he aveng hi father 's death by kill hi mother clytemnestra,orest
800,word zz,$200,"in a one thousand, nine hundred and sixty-nine no one song tommi roe wa thi hi head is spinnin' around like a whirlpool it never end",dizzi
801,i want my m tv,$200,befor he wa rockford jame garner wa thi wisecrack western card shark,maverick
802,thing o,$200,it 's defin a a voic extend abov a man or woman 's normal rang,falsetto
803,matt icul,$1000,"a success brewer matthew vassar open hi namesak colleg for woman in one thousand, eight hundred and sixty-one in thi n y citi",poughkeepsi
804,countri of origin,$1000,citgo a in ga go south,venezuela
805,girl of song,$1000,the plain white t 's not tom jone score a hit with the two thousand and six ballad hey there thi girl,delilah
806,let' get togeth,$200,the friar club is known for these gather in which the honore get lovingli insult,roast
807,ten hut,$200,dure a dialogu with god he receiv the decalogu a famou group of ten oblig,mose
808,clean four letter word,$1000,the knob on a radio or the antibacteri soap you 'd use on your hand if the knob wa dirti,dial
809,discoveri,$1000,"by an african trawler in one thousand, nine hundred and thirty-eight thi antediluvian fish",coelacanth
810,suit me just fine,$200,britney christina justin were part of the mickey mous one,club
811,gee you smell terrif,$200,forget your troubl come on get thi fraganc from cliniqu with a hint of citru a wealth of flower,happi
812,shakespearean alphabet,$1000,f is for thi charact in hamlet hi father the king of norway wa kill by hamlet 's dad,fortinbra
813,camilla,$200,"camilla parker bowl wa born camilla shand on juli seventeen one thousand, nine hundred and forty-seven in thi world capit",london
814,bring home the bacon,$200,serv hot or cold thi european style of potato salad is made with vinegar bacon,german
815,the orchestra,$1000,odd instrument like the triangl the tambourin fit into thi orchestra section,percuss
816,guin record,$200,contin that 's home to the smallest tallest tribe,africa
817,a you like it,$200,if you 're in the mood for travel you 're said to have these foot,itchi
818,emili post er child,$1000,on formal correspond you may address a boy under seven year old by thi titl,master
819,d talk,$1000,to absorb nutrient or a collect of publish materi,digest
820,unusu pet,$200,there may be more of these anim includ the bengal type kept a pet in the u s than live in the wild in asia,tiger
821,biblic quot,$1000,in proverb thi king write the fear of the lord is the begin of knowledg,solomon
822,asian histori,$1000,thi brit 's battl at assay argaom in india prepar him for napoleon,wellington
823,q a,$1000,sofia of the clue crew on the ship santa maria in columbu ohio gener reserv for offic it 's the rear part of the upper level of an old sail ship,quarterdeck
824,punch,$1000,the name of thi red wine punch is from the spanish for bleed,sangria
825,also someth you wear,$1000,a polici seek to reduc pollut is refer to a thi trade,cap
826,famou pair,$1000,in nick park anim short wallac,gromit
827,it' like shakespear you know ?,$1000,in the tame of the shrew kate 's all like it is not moonlight now he goe i say it is the moon that shine so bright,petruchio
828,word puzzl,$1000,formid feudal a href http www j archiv com medium two thousand and ten eleven twenty-two j twenty-six jpg target blank firearm a,crossbow
829,long jump,$1000,a sextant is use to determin your,longitud
830,signag,$1000,thi famili 's coat of arm is on build all around florenc like the one seen a href http www j archiv com medium two thousand and eleven six twenty-seven j twenty-five jpg target blank here a,medici
831,bird word phrase,$200,a person who deliber avoid face fact is said to hide hi head in the sand like thi bird,ostrich
832,g whiz,$200,proverbi to work hard is to keep your nose to thi,grindston
833,coffe break,$200,cappuccino is thi coffe drink mix or top with steam milk,espresso
834,anim planet ?,$200,it 's a small metal disk use illeg in a vend machin,slug
835,the short form,$1000,one of the perk of my job is know that perk is short for thi,perquisit
836,bean s,$200,roger clemen wa accus of throw one of these at mike piazza on juli eight two thousand,beanbal
837,jame bond,$200,perform who have play thi bos of bond includ bernard lee robert brown most recent judi dench,m
838,dine out,$1000,at the oliv garden you might start off with thi dish of chop tomato basil oliv oil on ciabatta toast,bruschetta
839,song titl,$200,duran duran hungri like the,wolf
840,let' eat,$1000,boursin a rich chees from normandi is often flavor with the crack type of thi,pepper
841,the circu,$200,a thick white type of theatric makeup is name for these circu perform,clown
842,fun with eponym,$1000,to prudishli edit vulgar bit out of a written work is call thi after a guy name thoma who did it to shakespear,bowdler
843,the fifty state,$1000,nation battlefield park includ manassa in virginia kennesaw mountain in thi state,georgia
844,hair,$200,if you 're abus your posit you do it to your nest if you were shaun cassidi in the '70 you did it to your hair,feather
845,at thirty-three,$200,at thirty-three he draft the declar of independ,jefferson
846,astronomi astrolog,$200,the intern astronom union said in two thousand and six that thi object wa realli part of the kuiper belt not a true planet,pluto
847,they come in three,$1000,aradu sidon tyre were three princip citi of thi ancient civil,phoenicia
848,who own what,$1000,philadelphia cream chees is from thi compani headquart in northfield illinoi,kraft
849,go through the motion,$200,each engin of a seven hundred and forty-seven gener over forty-three zero pound of thi forc,thrust
850,presidenti rel,$200,"princess julia cantacuzen a granddaught of thi presid civil war gener die in one thousand, nine hundred and seventy-five at the age of ninety-nine",grant
851,cnn twenty-five potpourri,$1000,the measur at issu a href http www j archiv com medium two thousand and five five ten j twenty-two wmv here a wa ratifi by thirty-five state thi mani short of the number it need,three
852,superhero,$1000,when doug funni 's in a tough spot he wear hi underwear on the outsid becom thi man,quailman
853,tale of brave ulyss,$200,ulyss is the latin name of odysseu the greek hero that thi poet portray in the odyssey,homer
854,pu,$200,oscar de la hoya or evand holyfield,pugilist
855,do re mi,$200,a small filet of prime beef,mignon
856,the o nli vowel,$200,scottish word preced lomond or ness,loch
857,european cuisin,$1000,there are mani variat of thi layer greek dish but you probabl know the one made with meat eggplant,moussaka
858,you your health you,$1000,wilson 's diseas which can be misdiagnos a schizophrenia is caus by an excess of thi element cu,copper
859,top seller in the u s,$1000,alkalin batteri thi brand 's coppertop,duracel
860,pop cultur,$200,jack handey deep thought to me thi sport is like a ballet except there 's no music and the dancer hit each other,box
861,mytholog,$200,some say hi twelve labor were penanc for kill hi wife megara their child,hercul
862,hook on phoenix,$200,diner at the rustler 's roost chow down on thi noisi pit viper serv a an appet,rattlesnak
863,languag,$200,scholar agre that the oldest form of thi languag can be found in the song of deborah in judg,hebrew
864,herb spice,$200,thi pizza herb wa virtual unknown to american until wwii soldier came home rave about it,oregano
865,beverag brand,$200,it 's the offici sport drink of the nfl,gatorad
866,doctor lawyer nativ american leader,$200,"last name of william charl brother who built their own medic center in rochest minnesota in one thousand, nine hundred and fourteen",mayo
867,sound like an armi unit,$1000,homonym for the center of a granni smith or a jonathan,corp
868,good golli malawi,$1000,malawi 's two offici languag are chichewa thi one that 's also the offici languag of it neighbor zimbabw,english
869,in countri,$1000,sao lui manau rio verd,brazil
870,u s endang speci,$200,corynorhinu townsendii ingen is the ozark big ear one of these cave dweller,bat
871,ella fitzgerald,$1000,ella 's masteri of thi improvis techniqu wa wide imit but never match,scat
872,f stop,$1000,the two type of wrestl in the olymp are greco roman thi,freestyl
873,states' second largest citi,$1000,kentucki name for a revolutionari war battl,lexington
874,breakfast cereal,$200,the silli rabbit ca n't resist thi cereal 's fruiti flavor includ lemoni lemon grapiti purpl,trix
